Price,Open,High,Low,Close,Volume
Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
Date,,,,,
2015-05-21,3.534451602671886,3.715846699984616,3.534451602671886,3.704852819442749,53682900
2015-05-22,3.7158468718781794,3.7515759368579054,3.550942325641294,3.5921683311462402,53753700
2015-05-25,3.567432015019524,3.5756774244021283,3.4959736351298303,3.5262060165405273,24377600
2015-05-26,3.5179611876158514,3.534451483656297,3.397031126812776,3.4052765369415283,44844200
2015-05-27,3.435509304674837,3.4794837818373057,3.3777927378719577,3.446502923965454,47223300
2015-05-28,3.4272646671711238,3.5234587847915506,3.4080256339601602,3.476735830307007,96419400
2015-05-29,3.493226074728424,3.512464844079257,3.3805414049159865,3.388786554336548,75971600
2015-06-01,3.4162708159718056,3.47673559596331,3.366799394061865,3.397031784057617,40498000
2015-06-02,3.449251977114918,3.5591881885963597,3.42726473481863,3.539949417114258,47041600
2015-06-03,3.561936442088559,3.600414244813745,3.4959747192241712,3.5152134895324707,90062100
2015-06-05,3.4574963854923273,3.5124644794372473,3.413521910336391,3.4547479152679443,36719100
2015-06-08,3.4657415340569284,3.5097162713214116,3.4272639993497576,3.4547479152679443,23667600
2015-06-09,3.4657411752294034,3.6196520844484716,3.4547475575786497,3.5729291439056396,88228800
2015-06-10,3.655381856082333,3.693859391529287,3.5509423445247172,3.594916820526123,45583600
2015-06-11,3.6086587091319355,3.6114071792563234,3.5317033804088385,3.6004135608673096,35341600
2015-06-12,3.534450683010011,3.583922084141831,3.526205536857531,3.578425407409668,30067700
2015-06-15,3.564683777889451,3.597664628821927,3.5454447515974623,3.5756773948669434,31713200
2015-06-16,3.5839229922183775,3.704852794159731,3.5481936670267524,3.6773688793182373,49988000
2015-06-17,3.710350093179204,3.7350858024044356,3.605910577621873,3.611407518386841,40920200
2015-06-18,3.6498848822871484,3.696607828140259,3.6141555553342672,3.696607828140259,26832100
2015-06-19,3.65813026834209,3.69385933294516,3.6004137039784836,3.6141555309295654,36247800
2015-06-22,3.655382077550923,3.674620846440019,3.6086591284414884,3.61965274810791,22567300
2015-06-23,3.6471366635891127,3.6911111390627713,3.5591874505332464,3.5646843910217285,48007400
2015-06-24,3.589419534358307,3.669123324143405,3.5866710645464224,3.6333940029144287,39613200
2015-06-25,3.6361425663407845,3.638891036421551,3.4410059085599465,3.4629931449890137,48369000
2015-06-26,3.4794837675821775,3.630646228790283,3.4739870890136677,3.630646228790283,34536800
2015-06-29,3.5729285118332053,3.735084540076837,3.4684890315727563,3.5317025184631348,63175500
2015-06-30,3.5454456417201317,3.5701813516567835,3.4767354528332413,3.487729072570801,32876500
2015-07-01,3.5179610967076425,3.531703184458589,3.3008369489899607,3.3420629501342773,62627200
2015-07-02,3.394282579421997,3.44375372470434,3.342062702263103,3.394282579421997,37421500
2015-07-03,3.366798841991253,3.3832894006267216,3.210139714442718,3.2321269512176514,31574500
2015-07-06,3.1634163856506348,3.223881148366378,3.100202891036987,3.1634163856506348,51206800
2015-07-07,3.122190753932975,3.256862917542443,2.9737767628259695,3.2348756790161133,72452800
2015-07-08,3.193649368909686,3.2953404113064186,3.1139455647550274,3.149674892425537,44001500
2015-07-10,3.270604365167651,3.292591601140219,3.2293783632462167,3.2458689212799072,30885900
2015-07-13,3.262359178230031,3.278849736066711,3.1826553832545503,3.2403719425201416,29585400
2015-07-14,3.2128880279391,3.3200760073173448,3.182655641908155,3.2953402996063232,37058500
2015-07-15,3.287095106307159,3.3145792838581247,3.2211333947150926,3.237623691558838,33375100
2015-07-16,3.267856383789613,3.2953402996063232,3.248617354398515,3.2953402996063232,26442500
2015-07-17,3.2486175881702817,3.2706048272492785,3.130436243647815,3.1359329223632812,39929900
2015-07-20,3.1496749052067408,3.171662143538038,2.9545379684350594,2.965531587600708,48763200
2015-07-21,2.998512304723706,3.0892097241214893,2.9133118257056885,2.9490408897399902,40357600
